DATE,SP500
03/28/13,1569.19
03/29/13,0
04/01/13,1562.17
04/02/13,1570.25
04/03/13,1553.69
04/04/13,1559.98
04/05/13,1553.28
04/08/13,1563.07
04/09/13,1568.61
04/10/13,1587.73
04/11/13,1593.37
04/12/13,1588.85
04/15/13,1552.36
04/16/13,1574.57
04/17/13,1552.01
04/18/13,1541.61
04/19/13,1555.25
04/22/13,1562.5
04/23/13,1578.78
04/24/13,1578.79
04/25/13,1585.16
04/26/13,1582.24
04/29/13,1593.61
04/30/13,1597.57
05/01/13,1582.7
05/02/13,1597.59
05/03/13,1614.42
05/06/13,1617.5
05/07/13,1625.96
05/08/13,1632.69
05/09/13,1626.67
05/10/13,1633.7
05/13/13,1633.77
05/14/13,1650.34
05/15/13,1658.78
05/16/13,1650.47
05/17/13,1667.47
05/20/13,1666.29
05/21/13,1669.16
05/22/13,1655.35
05/23/13,1650.51
05/24/13,1649.6
05/27/13,0
05/28/13,1660.06
05/29/13,1648.36
05/30/13,1654.41
05/31/13,1630.74
06/03/13,1640.42
06/04/13,1631.38
06/05/13,1608.9
06/06/13,1622.56
06/07/13,1643.38
06/10/13,1642.81
06/11/13,1626.13
06/12/13,1612.52
06/13/13,1636.36
06/14/13,1626.73
06/17/13,1639.04
06/18/13,1651.81
06/19/13,1628.93
06/20/13,1588.19
06/21/13,1592.43
06/24/13,1573.09
06/25/13,1588.03
06/26/13,1603.26
06/27/13,1613.2
06/28/13,1606.28
07/01/13,1614.96
07/02/13,1614.08
07/03/13,1615.41
07/04/13,0
